,https://roic.ai/company/LVLU,2019,2020,2021
0,INCOME STATEMENT, , , 
1,Revenue,369622000,248656000,- -
2,COGS,208418000,138364000,- -
3,Gross Profit,161204000,110292000,- -
4,Gross Profit Ratio,0.4361,0.4436,- -
5,Research and Development Exp.,- -,- -,- -
6,General and Administrative Exp.,73386000,67155000,- -
7,Selling and Marketing Exp.,72875000,47812000,- -
8,"Selling, General and Administrative Exp.",146261000,114967000,- -
9,Other Expenses,- -,- -,- -
10,Operating Expenses,146261000,114967000,- -
11,COGS and Expenses,354679000,253331000,- -
12,Interest Income ,- -,- -,- -
13,Interest Expense (Gain),15206000,16037000,- -
14,Depreciation and Amortization,3041000,3216000,- -
15,EBITDA,18223000,-1322000,- -
16,EBITDA ratio,0.0493,-0.0053,- -
17,Operating Income,14943000,-4675000,- -
18,Operating Income ratio,0.0404,-0.0188,- -
19,Total Other Income Expenses (Gains),-14967000,-15900000,- -
20,Income Before Tax,-24000,-20575000,- -
21,Income Before Tax Ratio,-0.0001,-0.0827,- -
22,Income Tax expense (Gain),445000,-1271000,- -
23,Net Income,-469000,-19304000,- -
24,Net Income ratio,-0.0013,-0.0776,- -
25,EPS,-0.01,-4.33,- -
26,EPS Diluted,-0.01,-4.33,- -
27,Weighted Average Shares Outstanding,32677985,32677985,- -
28,Weighted Average Shares Outstanding Diluted,32677985,32677985,- -
29,SEC Link,- -,- -,undefined
30,BALANCE SHEET, , , 
31,Cash and Cash Equivalents,5857000,15554000,- -
32,Short-Term Investments,- -,- -,- -
33,Cash and Short-Term Investments,5857000,15554000,- -
34,Net Receivables,6392000,6571000,- -
35,Inventory,29388000,17999000,- -
36,Other Current Assets,5170000,2675000,- -
37,Total Current Assets,46807000,42799000,- -
38,PP&E,4070000,3090000,- -
39,Goodwill,35430000,35430000,- -
40,Intangible Assets,21205000,20799000,- -
41,Intangible Assets,56635000,56229000,- -
42,Investments,- -,- -,- -
43,Tax Assets,- -,- -,- -
44,Other Non-Current Assets,3007000,2958000,- -
45,Total Non-Current Assets,63712000,62277000,- -
46,Other Assets,- -,- -,- -
47,Total Assets,110519000,105076000,- -
48,Accounts Payable,10971000,7161000,- -
49,Short-Term Debt,14125000,18705000,- -
50,Tax Payable,- -,- -,- -
51,Deferred Revenue,4605000,4973000,- -
52,Other Current Liabilities,21452000,10428000,- -
53,Total Current Liabilities,51153000,41267000,- -
54,Long-Term Debt,96653000,96856000,- -
55,Deferred Revenue,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -
57,Other Non-Current Liabilities,3954000,2504000,- -
58,Total Non-Current Liabilities,100607000,99360000,- -
59,Other Liabilities,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -
61,Total Liabilities,151760000,140627000,- -
62,Preferred Stock,117038000,133450000,- -
63,Common Stock,18000,18000,- -
64,Retained Earnings,-160337000,-179641000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -
66,Other Total Stockholders Equity,2040000,10622000,- -
67,Total Stockholders Equity,-41241000,-35551000,- -
68,Total Liabilities And Stockholders Equity,110519000,105076000,- -
69,Minority Interest,- -,- -,- -
70,Total Liabilities & Equity,110519000,105076000,- -
71,SEC Link,- -,- -,undefined
72,CASH FLOW STATEMENT, , , 
73,Net Income,-469000,-19304000,- -
74,Depreciation and Amortization,3041000,3216000,- -
75,Deferred Income Tax,-1620000,-14000,- -
76,Stock Based Compensation,2040000,17657000,- -
77,Change in Working Capital,6837000,5878000,- -
78,Accounts Receivable,-1673000,123000,- -
79,Inventory,-2191000,11389000,- -
80,Accounts Payable,5264000,-3702000,- -
81,Other Working Capital,-4346000,1532000,- -
82,Other Non-Cash Items,2045000,-2577000,- -
83,Cash Provided by Operating Activities,11874000,4856000,- -
84,CAPEX,-4042000,-1973000,- -
85,Acquisitions Net,- -,- -,- -
86,Purchases of Investments,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -
88,Other Investing Activites,-1830000,-1213000,- -
89,Cash Used for Investing Activites,-4042000,-1913000,- -
90,Debt Repayment,-17656000,-3331000,- -
91,Common Stock Issued,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -
93,Dividends Paid,- -,- -,- -
94,Other Financing Activites,7935000,10086000,- -
95,Cash Used/Provided by Financing Activities,-9721000,6755000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -
97,Net Change In Cash,-1889000,9698000,- -
98,Cash at the End of Period,6361000,16059000,- -
99,Cash at the Beginning of Period,8250000,6361000,- -
100,Free Cash Flow,7832000,2883000,- -
101,SEC Link,- -,- -,undefined
102,false,,,
