,https://roic.ai/company/BWAY,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,1189000,3380000,6800000,11524000,11145000,16397000,23101000,22057000,29657000
2,COGS,199000,656000,1466000,2427000,2595000,3589000,5129000,5058000,6599000
3,Gross Profit,990000,2724000,5334000,9097000,8550000,12808000,17972000,16999000,23058000
4,Gross Profit Ratio,0.8326,0.8059,0.7844,0.7894,0.7672,0.7811,0.7780,0.7707,0.7775
5,Research and Development Exp.,3688000,6438000,4103000,3792000,5343000,6156000,7876000,5823000,6393000
6,General and Administrative Exp.,1429000,2340000,3607000,5742000,7467000,8233000,4387000,3313000,5784000
7,Selling and Marketing Exp.,633000,1212000,1929000,1206000,1828000,3106000,13269000,11283000,15880000
8,"Selling, General and Administrative Exp.",2062000,3552000,5536000,6948000,9295000,11339000,17656000,14596000,21664000
9,Other Expenses,-493000,11000,200000,426000,523000,427000,916000,1409000,- -
10,Operating Expenses,5257000,10001000,9839000,11166000,15161000,17922000,26448000,21828000,28057000
11,COGS and Expenses,5456000,10657000,11305000,13593000,17756000,21511000,31577000,26886000,34656000
12,Interest Income ,304000,93000,18000,12000,22000,44000,175000,61000,- -
13,Interest Expense (Gain),- -,525000,98000,404000,360000,354000,398000,66000,1420000
14,Depreciation and Amortization,206000,336000,611000,649000,1072000,1228000,2795000,2679000,1686000
15,EBITDA,-6888000,-5684000,-3378000,-1344000,-5453000,-4688000,-6713000,-2403000,-3313000
16,EBITDA ratio,-5.7931,-1.6817,-0.4968,-0.1166,-0.4893,-0.2859,-0.2906,-0.1089,-0.1117
17,Operating Income,-4267000,-7277000,-4505000,-2069000,-6611000,-5114000,-8476000,-4829000,-4999000
18,Operating Income ratio,-3.5887,-2.1530,-0.6625,-0.1795,-0.5932,-0.3119,-0.3669,-0.2189,-0.1686
19,Total Other Income Expenses (Gains),-2827000,732000,418000,-328000,-274000,-1156000,-1430000,-319000,-1420000
20,Income Before Tax,-7094000,-6545000,-4087000,-2397000,-6885000,-6270000,-9906000,-5148000,-6419000
21,Income Before Tax Ratio,-5.9664,-1.9364,-0.6010,-0.2080,-0.6178,-0.3824,-0.4288,-0.2334,-0.2164
22,Income Tax expense (Gain),28000,- -,- -,- -,169000,209000,422000,237000,43000
23,Net Income,-7122000,-6545000,-4087000,-2397000,-7054000,-6479000,-10328000,-5385000,-6462000
24,Net Income ratio,-5.9899,-1.9364,-0.6010,-0.2080,-0.6329,-0.3951,-0.4471,-0.2441,-0.2179
25,EPS,-1.10,-0.92,-0.56,-0.34,-0.96,-0.78,-1.00,-0.48,-0.58
26,EPS Diluted,-1.10,-1.12,-0.56,-0.34,-0.96,-0.78,-1.00,-0.48,-0.58
27,Weighted Average Shares Outstanding,6433500,7080500,7231500,7253500,7384500,8320223,10253101,11218750,11218750
28,Weighted Average Shares Outstanding Diluted,6433500,7130500,7231500,7253500,7384500,8320223,10253101,11218750,11218750
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,- -,17261000,11355000,9174000,14509000,8968000,21674000,16961000,16921000
32,Short-Term Investments,- -,1079000,585000,585000,50000,101000,221000,221000,40428000
33,Cash and Short-Term Investments,- -,18340000,11940000,9759000,14559000,9069000,21895000,17182000,57349000
34,Net Receivables,- -,1429000,2799000,3292000,2952000,3974000,5956000,6002000,6332000
35,Inventory,- -,- -,- -,- -,271000,91000,306000,442000,- -
36,Other Current Assets,- -,58000,125000,59000,105000,344000,672000,672000,1766000
37,Total Current Assets,- -,19827000,14864000,13110000,17887000,13478000,28829000,24298000,65447000
38,PP&E,- -,5890000,7329000,6821000,7091000,7626000,9739000,4352000,9331000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,25000,16000,9000,18000,- -,- -,- -,- -
41,Intangible Assets,- -,25000,16000,9000,18000,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,29000,34000,24000,2034000,2498000,168000,5361000,954000
45,Total Non-Current Assets,- -,5944000,7379000,6854000,9143000,10124000,9907000,9713000,10285000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,25771000,22243000,19964000,27030000,23602000,38736000,34011000,75732000
48,Accounts Payable,- -,1528000,944000,810000,1631000,2243000,1320000,781000,1103000
