,https://roic.ai/company/WECT,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71250,238720,111050,65690,- -
2,COGS,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,300790,266160,10390,- -,- -
3,Gross Profit,- -,-10000,- -,- -,- -,- -,- -,- -,- -,- -,-229540,-27440,100660,65690,- -
4,Gross Profit Ratio,- -,-Infinity,- -,- -,- -,- -,- -,- -,- -,- -,-3.2216,-0.1149,0.9064,1.0000,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,20000,110000,70000,60000,50000,60000,60000,- -,60000,60000,1473190,1483770,1587570,-1179650,27199
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",20000,110000,70000,60000,50000,60000,60000,- -,60000,60000,1473190,1483770,1587570,-1179650,27199
9,Other Expenses,-3824,11352,-2158,9263,2755,-461,-2550,57714,-4907,-3293,-1410736,3,2,- -,- -
10,Operating Expenses,16176,121352,67842,69263,52755,59539,57450,57714,55093,56707,62454,1483773,1587572,-1179650,27199
11,COGS and Expenses,20000,120000,70000,70000,60000,60000,50000,- -,20000,60000,1771010,1645070,1597420,-1179650,27199
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22690,28540,26920,16687,- -
15,EBITDA,-20000,-120000,-70000,-540000,-60000,-60000,-50000,- -,-20000,-60000,-1677070,-1377810,-1459460,-1086479,-27199
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,-Infinity,-Infinity,-23.5378,-5.7717,-13.1424,-16.5395,-Infinity
17,Operating Income,-18676,-123852,- -,-69263,-58921,-58255,-54025,- -,- -,- -,-62454,- -,- -,- -,- -
18,Operating Income ratio,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,- -,- -,- -,-0.8765,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-1324,3852,- -,-360737,-1079,-1745,4025,- -,- -,- -,-1637306,- -,-10,-2348506,-1523
20,Income Before Tax,-20000,-120000,-70000,-430000,-60000,-60000,-50000,- -,-20000,-60000,-1699760,-1406350,-1486380,-1103166,-28722
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,-Infinity,-Infinity,-23.8563,-5.8912,-13.3848,-16.7935,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5500,-250,- -,- -,- -
23,Net Income,-20000,-120000,-70000,-430000,-60000,-60000,-50000,- -,-20000,-60000,-1705260,-1406100,-1486380,-1103166,-28722
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,-Infinity,-Infinity,-23.9335,-5.8902,-13.3848,-16.7935,-Infinity
25,EPS,-0.01,-0.01,-0.00,-0.03,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.01,-0.00,-0.00,-0.00
26,EPS Diluted,-0.01,-0.01,-0.00,-0.03,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.01,-0.00,-0.00,-0.00
27,Weighted Average Shares Outstanding,3776000,14280000,14280000,15166000,16530000,16530000,16530000,16530000,16530000,16530000,16530000,177078669,593610070,593610070,593610070
28,Weighted Average Shares Outstanding Diluted,3776000,14280000,14280000,15166000,16530000,16530000,16530000,16530000,16530000,16530000,16530000,177078669,593610070,593610070,593610070
