,https://roic.ai/company/BRP,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,48014994,79879733,137841000,240919000,2788000
2,COGS,30805563,51653640,96955000,174114000,- -
3,Gross Profit,17209431,28226093,40886000,66805000,2788000
4,Gross Profit Ratio,0.3584,0.3534,0.2966,0.2773,1.0000
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,9558978,14379270,24576000,48060000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",9558978,14379270,24576000,48060000,- -
9,Other Expenses,1836200,4317475,21378000,20167000,598916000
10,Operating Expenses,11395178,18696745,45954000,68227000,598916000
11,COGS and Expenses,42200741,70350385,142909000,242341000,- -
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),1906421,6625101,10640000,7857000,-26899000
14,Depreciation and Amortization,1436902,3089778,10549000,20167000,51508000
15,EBITDA,5046616,9091083,12556000,12323000,-33492000
16,EBITDA ratio,0.1051,0.1138,0.0911,0.0511,-12.0129
17,Operating Income,5814253,9529348,-5068000,-21938000,-31626000
18,Operating Income ratio,0.1211,0.1193,-0.0368,-0.0911,-11.3436
19,Total Other Income Expenses (Gains),-1963872,-6840168,-17369000,-7952000,-26475000
20,Income Before Tax,3850381,2689180,-22437000,-29890000,-58101000
21,Income Before Tax Ratio,0.0802,0.0337,-0.1628,-0.1241,-20.8397
22,Income Tax expense (Gain),- -,- -,17000,-5000,19000
23,Net Income,1703293,-623796,-8650000,-15696000,-58120000
24,Net Income ratio,0.0355,-0.0078,-0.0628,-0.0652,-20.8465
25,EPS,0.04,0.02,-0.48,-0.58,-2.14
26,EPS Diluted,0.04,0.02,-0.48,-0.58,-2.14
27,Weighted Average Shares Outstanding,40341074,40341074,17916735,27175705,27175705
28,Weighted Average Shares Outstanding Diluted,43647778,43647778,17916735,27175705,27175705
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1781755/000178175520000022/0001781755-20-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1781755/000178175521000015/0001781755-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1781755/000178175522000008/0001781755-22-000008-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,3123413,7995118,67689000,108462000,138292000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,3123413,7995118,67689000,108462000,138292000
34,Net Receivables,4747515,29502051,58836000,155520000,340837000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,660213,1096430,6401000,38007000,99264000
37,Total Current Assets,8531141,38593599,132926000,301989000,578393000
38,PP&E,1082422,2148264,3322000,11019000,99120000
39,Goodwill,27454788,65764251,164470000,651502000,1228741000
40,Intangible Assets,7461903,29743832,92450000,554320000,944467000
41,Intangible Assets,34916691,95508083,256920000,1205822000,2173208000
42,Investments,- -,- -,200000,1650000,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,450314,3574668,5400000,9434000,25586000
45,Total Non-Current Assets,36449427,101231015,265842000,1227925000,2297914000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,44980568,139824614,398768000,1529914000,2876307000
48,Accounts Payable,3810780,27150983,58011000,159836000,- -
49,Short-Term Debt,524982,527005,- -,4000000,61500000
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,2957676,1449848,5349000,11606000,- -
52,Other Current Liabilities,5030443,4099180,9465000,41978000,479189000
53,Total Current Liabilities,12323881,33227016,72825000,217420000,540689000
54,Long-Term Debt,23845652,72238800,40363000,381382000,920971000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,48729769,97116941,48329000,161242000,227091000
58,Total Non-Current Liabilities,72575421,169355741,88692000,542624000,1148062000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -
61,Total Liabilities,84899302,202582757,161517000,760044000,1688751000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,198000,455000,592000
64,Retained Earnings,-40465787,-63605576,-8650000,-24346000,-54992000
65,Other Comprehensive Income/Loss,-2155800,-2663773,-3185000,- -,- -
66,Other Total Stockholders Equity,2702853,3511206,84922000,391674000,1241687000
67,Total Stockholders Equity,-40465787,-63695472,73285000,367783000,1187287000
68,Total Liabilities And Stockholders Equity,44433515,138887285,234802000,1127827000,2876038000
69,Minority Interest,547053,937329,163966000,402087000,269000
70,Total Liabilities & Equity,44980568,139824614,398768000,1529914000,2876307000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1781755/000178175520000022/0001781755-20-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1781755/000178175521000015/0001781755-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1781755/000178175522000008/0001781755-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,1703293,-623796,-8650000,-15696000,-58120000
74,Depreciation and Amortization,1436902,3089778,10549000,20167000,51508000
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,187267,1240205,3227000,7744000,19193000
77,Change in Working Capital,854141,9159323,54734417,24468000,-46865000
78,Accounts Receivable,- -,- -,- -,-6828000,- -
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,1650360,1045272,9000000,27348000,55188000
81,Other Working Capital,-3792740,5366583,60101000,84569000,37704000
82,Other Non-Cash Items,3833834,-1072331,-47846417,134000,74413000
83,Cash Provided by Operating Activities,8015437,11793179,12014000,36817000,40129000
84,CAPEX,-431201,-525344,-1718000,-5469000,-5321000
85,Acquisitions Net,-13197217,-35091989,-98623000,-670486000,-3212000
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,-431201,-7433991,-2397000,-7323000,-675261000
89,Cash Used for Investing Activites,-13628418,-42525980,-101020000,-677809000,-678473000
90,Debt Repayment,-524982,-525489,-154829000,-326000000,-5630000
91,Common Stock Issued,205145,199445,247206000,451574000,269375000
92,Common Stock Repurchased,- -,- -,-43832000,-78274000,- -
93,Dividends Paid,-6884118,-9950023,-10549000,- -,- -
94,Other Financing Activites,11288791,45880573,114086000,664643000,460314000
95,Cash Used/Provided by Financing Activities,4084836,35604506,152082000,711943000,724059000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,-1528145,4871705,63076000,70951000,85715000
