,https://roic.ai/company/EQC-PD,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,200000,10800000,18900000,23200000,32900000,43800000,48700000,56500000,86683000,112678000,120183000,208863000,356554000,427541000,405006000,394172000,416966000,500727000,603229000,710758000,795821000,840010000,835540000,849722000,793370000,911948000,1013092000,885536000,861857000,714891000,500680000,340571000,197022000,127850000,66278000,58002000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,347958000,356001000,333889000,392131000,419681000,370869000,387982000,324948000,200706000,141425000,79916000,46418000,28858000,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,487582000,493721000,459481000,519817000,593411000,514667000,473875000,389943000,299974000,199146000,117106000,81432000,37420000,58002000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.5836,0.5810,0.5792,0.5700,0.5857,0.5812,0.5498,0.5455,0.5991,0.5847,0.5944,0.6369,0.5646,1.0000
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,400000,400000,700000,700000,900000,5116000,6914000,7055000,11670000,17172000,18704000,17271000,15614000,16815000,19338000,25170000,30446000,32133000,35717000,- -,- -,- -,- -,51697000,77209000,113155000,57457000,50256000,47760000,44439000,38442000,33233000,37444000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,400000,400000,700000,700000,900000,5116000,6914000,7055000,11670000,17172000,18704000,17271000,15614000,16815000,19338000,25170000,30446000,32133000,35717000,36812000,39427000,39646000,46758000,51697000,77209000,113155000,57457000,50256000,47760000,44439000,38442000,33233000,37444000
9,Other Expenses,- -,-2500000,-4700000,-5700000,-9100000,-10000000,-12000000,-12600000,14724000,22849000,25882000,66095000,138300000,213486000,202750000,205779000,- -,- -,- -,- -,- -,- -,185657000,195681000,207884000,218688000,245729000,218854000,227532000,194001000,131806000,90708000,49041000,74540000,19329000,- -
10,Operating Expenses,- -,-2500000,-4700000,-5300000,-8700000,-9300000,-11300000,-11700000,19840000,29763000,32937000,77765000,155472000,232190000,220021000,221393000,- -,- -,- -,- -,- -,- -,222469000,235108000,247530000,265446000,297426000,296063000,340687000,251458000,182062000,138468000,93480000,112982000,52562000,37444000
11,COGS and Expenses,- -,-2500000,-4700000,-5300000,-8700000,-9300000,-11300000,-11700000,19840000,29763000,32937000,77765000,155472000,232190000,220021000,221393000,238179000,308662000,365403000,437061000,502671000,547106000,570427000,591109000,581419000,657577000,717107000,666932000,728669000,576406000,382768000,279893000,173396000,112982000,81420000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1442000,1194000,3159000,1718000,1428000,1229000,1561000,5989000,10331000,26380000,46815000,72392000,21228000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,180193000,173458000,179642000,195024000,204244000,173011000,143230000,107316000,84329000,52183000,26585000,8908000,620000,- -
14,Depreciation and Amortization,- -,- -,- -,4600000,5100000,7300000,9600000,9100000,14724000,22849000,22106000,39330000,60764000,73382000,63813000,65187000,68750000,85224000,102116000,120822000,140250000,197317000,155026000,170547000,196943000,183188000,268254000,256477000,238147000,201474000,138337000,92152000,48700000,28685000,20096000,15235000
15,EBITDA,200000,6100000,7700000,12500000,19400000,29400000,36800000,42500000,64643000,87085000,95360000,153330000,205280000,187244000,206085000,147991000,175513000,199670000,264945000,285806000,390830000,321967000,580637000,509414000,512544000,489543000,380284000,255062000,408580000,411011000,456305000,174491000,351254000,531557000,472258000,-1074000
16,EBITDA ratio,1.0000,0.5648,0.4074,0.5388,0.5897,0.6712,0.7556,0.7522,0.7457,0.7729,0.7935,0.7341,0.5757,0.4380,0.5088,0.3754,0.4209,0.3988,0.4392,0.4021,0.4911,0.3833,0.6949,0.5995,0.6460,0.5368,0.3754,0.2880,0.4741,0.5749,0.9114,0.5123,1.7828,4.1577,7.1254,-0.0185
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,66843000,82915000,87246000,131098000,201082000,195351000,184985000,176734000,178787000,192065000,237826000,273697000,293150000,292193000,265113000,254315000,190391000,233943000,290337000,218286000,-51884000,121323000,59436000,40964000,11539000,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,0.7711,0.7359,0.7259,0.6277,0.5640,0.4569,0.4567,0.4484,0.4288,0.3836,0.3943,0.3851,0.3684,0.3478,0.3173,0.2993,0.2400,0.2565,0.2866,0.2465,-0.0602,0.1697,0.1187,0.1203,0.0586,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,3994000,2476000,- -,- -,- -,-700000,- -,3955000,- -,- -,- -,19355000,119204000,-169987000,-181034000,-176914000,-110090000,-170787000,-186045000,-165541000,51821000,-19102000,174203000,-10798000,264525000,479282000,467483000,- -
