,https://roic.ai/company/GME,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,553140000,756697000,1121138000,1352791000,1578838000,1842806000,3091800000,5318900000,7094000000,8805897000,9078000000,9473700000,9550500000,8886700000,9039500000,9296000000,9363800000,7965000000,8547100000,8285300000,6466000000,5089800000,6010700000
2,COGS,- -,421673000,570995000,854035000,1009491000,1142264000,1328611000,2219800000,3847500000,5280300000,6535762000,6643300000,6936100000,6871000000,6235200000,6378400000,6520100000,6445500000,5465100000,6062200000,5977200000,4557300000,3830300000,4662900000
3,Gross Profit,- -,131467000,185702000,267103000,343300000,436574000,514195000,872000000,1471400000,1813700000,2270135000,2434700000,2537600000,2679500000,2651500000,2661100000,2775900000,2918300000,2499900000,2484900000,2308100000,1908700000,1259500000,1347800000
4,Gross Profit Ratio,- -,0.2377,0.2454,0.2382,0.2538,0.2765,0.2790,0.2820,0.2766,0.2557,0.2578,0.2682,0.2679,0.2806,0.2984,0.2944,0.2986,0.3117,0.3139,0.2907,0.2786,0.2952,0.2475,0.2242
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,599300000,1021100000,1182000000,1445419000,1637100000,1701300000,1841500000,1838400000,1895700000,2001000000,2107300000,1857400000,1913600000,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,599300000,1021100000,1182000000,1445419000,1637100000,1701300000,1841500000,1838400000,1895700000,2001000000,2107300000,1857400000,1913600000,- -,- -,- -,1709600000
9,Other Expenses,- -,133008000,180088000,233016000,256229000,332190000,415048000,87500000,122700000,142800000,145004000,165900000,179700000,269100000,854700000,191900000,154400000,162800000,160800000,132100000,1994200000,1922700000,1514200000,- -
10,Operating Expenses,- -,133008000,180088000,233016000,256229000,332190000,415048000,686800000,1143800000,1324800000,1590423000,1803000000,1881000000,2110600000,2693100000,2087600000,2155400000,2270100000,2018200000,2045700000,1994200000,1922700000,1514200000,1709600000
11,COGS and Expenses,- -,554681000,751083000,1087051000,1265720000,1474454000,1743659000,2906600000,4991300000,6605100000,8126185000,8446300000,8817100000,8981600000,8928300000,8466000000,8675500000,8715600000,7483300000,8107900000,7971400000,6480000000,5344500000,6372500000
