,https://roic.ai/company/CAPC,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,720925,9450315,- -,- -,615265,1061637,911583,1547073,2826842,6616330,6161367,5287261,10248840,8362964,14593826,13624518,15924165,30630368,36752813,12830324,12404445,2770358,685854
2,COGS,- -,113032,7969016,- -,- -,434953,758743,658084,884033,1623863,4589636,4350019,3674819,7770823,6574912,10983364,10842813,12100468,23232605,27910869,9936745,9972871,2266592,638644
3,Gross Profit,- -,607893,1481299,- -,- -,180312,302894,253499,663040,1202979,2026694,1811348,1612442,2478017,1788052,3610462,2781705,3823697,7397763,8841944,2893579,2431574,503766,47210
4,Gross Profit Ratio,- -,0.8432,0.1567,- -,- -,0.2931,0.2853,0.2781,0.4286,0.4256,0.3063,0.2940,0.3050,0.2418,0.2138,0.2474,0.2042,0.2401,0.2415,0.2406,0.2255,0.1960,0.1818,0.0688
5,Research and Development Exp.,- -,- -,- -,- -,1433178,- -,- -,- -,- -,- -,- -,198134,140917,197290,227087,225754,374245,294638,326820,376981,518969,348745,249879,308823
6,General and Administrative Exp.,- -,869611,3314965,- -,- -,- -,- -,- -,- -,- -,2341493,1860858,1536131,1262822,1529758,1778297,2201266,2190684,2504507,2967401,2704078,2637125,2415463,789191
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,557027,355480,414670,146355,364263,489791,315566,314011,1223798,2266601,915205,378605,300420,28568
8,"Selling, General and Administrative Exp.",- -,869611,3314965,- -,- -,- -,- -,- -,- -,- -,2898520,2216338,1950801,1409177,1894021,2268088,2516832,2504695,3728305,5234002,3619283,3015730,2715883,817759
9,Other Expenses,21579,150426,364585,1140635,- -,114140,569880,827341,848695,2454436,177186,230048,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,623538,1276503
10,Operating Expenses,21579,1020037,3679550,1140635,- -,114140,569880,827341,848695,2454436,3075706,2644520,2091718,1606467,2121108,2493842,2891077,2799333,4055125,5610983,4138252,3364475,3589300,2403085
11,COGS and Expenses,21579,1133069,11648566,1140635,1507178,549093,1328623,1485425,1732728,4078299,7665342,6994539,5766537,9377290,8696020,13477206,13733890,14899801,27287730,33521852,14074997,13337346,5855892,3041729
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,9466,4650,1409,179,- -,- -,- -,- -,- -,- -,26897,- -,- -,- -,179,- -
13,Interest Expense (Gain),- -,- -,228784,777347,398492,- -,3205,15347,52356,125175,291133,266132,259602,295946,274127,389486,327962,317463,281447,122091,- -,3206,-179,48974
14,Depreciation and Amortization,5403,150426,364585,- -,- -,- -,897,1235,7302,38583,177187,230048,177655,81245,71153,95756,81220,71590,63678,80940,45510,44194,24297,9852
15,EBITDA,-16176,-261718,-3666991,-1140635,-1507178,-207828,-266089,-572589,-19463,-1049900,-870416,-602888,-301621,952795,-261903,1212376,-28152,1095954,3433213,3311901,-1254523,-859202,-2971637,-1889748
16,EBITDA ratio,-Infinity,-0.3630,-0.3880,-Infinity,-Infinity,-0.3378,-0.2506,-0.6281,-0.0126,-0.3714,-0.1316,-0.0978,-0.0570,0.0930,-0.0313,0.0831,-0.0021,0.0688,0.1121,0.0901,-0.0978,-0.0693,-1.0727,-2.7553
17,Operating Income,-21579,-412144,-2198251,-1140635,-1507178,66172,-266986,-573842,-185655,-1251457,-1049012,-833172,-479276,871550,-333056,1116620,-109372,1024364,3342638,3230961,-1244673,-932901,-3085534,-2355875
18,Operating Income ratio,-Infinity,-0.5717,-0.2326,-Infinity,-Infinity,0.1076,-0.2515,-0.6295,-0.1200,-0.4427,-0.1585,-0.1352,-0.0906,0.0850,-0.0398,0.0765,-0.0080,0.0643,0.1091,0.0879,-0.0970,-0.0752,-1.1138,-3.4350
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,-274000,-3205,18,- -,158324,- -,57,- -,-295946,-274127,-389486,-327962,-317463,-254550,-122091,-55360,26299,701718,407301
