,https://roic.ai/company/INTI,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,1000000,1800000,1600000,2565132,4366959,4786087,4434379,5104056,5748704,7802891,6532482,12422193,9435494,3272784,610281,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,100000,500000,800000,1128521,2049519,3869906,3289775,3528499,3768278,5493665,5438706,10625140,7223788,2261855,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,900000,1300000,800000,1436611,2317440,916181,1144604,1575557,1980426,2309226,1093776,1797053,2211706,1010929,610281,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,0.9000,0.7222,0.5000,0.5601,0.5307,0.1914,0.2581,0.3087,0.3445,0.2959,0.1674,0.1447,0.2344,0.3089,1.0000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,300000,600000,500000,379753,149542,14348,5314,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1065169,2430740,1680250,2641510,2227590,2633570,1208080,185294,4905
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1026437,- -,560670,817316,1507080,2269340,4380700,2891440,1930690,1539820,873703,320490
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,300000,1300000,2200000,2371608,2166624,2229304,1479991,1420879,1718874,2056188,2053176,4611636,4728718,3078866,1026437,982096,560670,817316,1507082,2269335,4380695,2891442,1930690,1539821,873703,320490
9,Other Expenses,- -,100000,300000,300000,547156,634539,-14348,-5314,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5,- -,-3,-1,-3,-5,- -,- -
10,Operating Expenses,- -,700000,2200000,3000000,3298517,2950705,2229304,1479991,1420879,1718874,2056188,2053176,4611636,4728718,3078866,1026437,- -,- -,1882485,3937817,3949585,7022202,5119031,4564257,2747896,1058997,325395
11,COGS and Expenses,- -,800000,2700000,3800000,4427038,5000224,6099210,4769766,4949378,5487152,7549853,7491882,15236776,11952506,5340721,1026437,982096,560670,1999809,3937820,3949590,7022200,5119030,4564260,2747900,1058997,- -
12,Interest Income ,- -,- -,- -,- -,- -,64654,76414,8380,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21985,17866,14027,14540,1068,- -
13,Interest Expense (Gain),- -,- -,- -,200000,- -,353305,283124,293405,258249,652064,242319,297873,733989,1630020,475658,233148,217580,- -,1923,37481,- -,- -,- -,- -,- -,- -,14837
14,Depreciation and Amortization,- -,100000,300000,300000,547156,634539,673419,631730,609508,793082,963526,899891,893050,2739949,1037711,175464,162335,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
