,https://roic.ai/company/CARG,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,98588000,198141000,316861000,454086000,588916000,551451000,951373000
2,COGS,4234000,9575000,17609000,24811000,36300000,42706000,294015000
3,Gross Profit,94354000,188566000,299252000,429275000,552616000,508745000,657358000
4,Gross Profit Ratio,0.9571,0.9517,0.9444,0.9454,0.9384,0.9226,0.6910
5,Research and Development Exp.,8235000,11453000,22470000,47866000,69462000,85726000,106423000
6,General and Administrative Exp.,5801000,12783000,22688000,39475000,50434000,62166000,97678000
7,Selling and Marketing Exp.,81877000,154125000,236165000,315939000,393844000,256979000,290574000
8,"Selling, General and Administrative Exp.",87678000,166908000,258853000,355414000,444278000,319145000,388252000
9,Other Expenses,969000,1634000,2655000,2804000,4554000,6118000,14415000
10,Operating Expenses,96882000,179995000,283978000,406084000,518294000,410989000,509090000
11,COGS and Expenses,101116000,189570000,301587000,430895000,554594000,453695000,803105000
12,Interest Income ,- -,416000,869000,2283000,2984000,1075000,120000
13,Interest Expense (Gain),12000,26000,29000,- -,- -,- -,- -
14,Depreciation and Amortization,1122000,2072000,3795000,5029000,7817000,11342000,40476000
15,EBITDA,-1406000,11043000,19661000,30513000,46522000,110452000,188707000
16,EBITDA ratio,-0.0143,0.0557,0.0620,0.0672,0.0790,0.2003,0.1984
17,Operating Income,-2528000,8571000,15274000,23191000,34322000,97756000,148268000
18,Operating Income ratio,-0.0256,0.0433,0.0482,0.0511,0.0583,0.1773,0.1558
19,Total Other Income Expenses (Gains),-12000,374000,563000,2293000,4383000,1354000,1092000
20,Income Before Tax,-2540000,8945000,15837000,25484000,38705000,99110000,149360000
21,Income Before Tax Ratio,-0.0258,0.0451,0.0500,0.0561,0.0657,0.1797,0.1570
22,Income Tax expense (Gain),-904000,2448000,2638000,-39686000,-3441000,21557000,38987000
23,Net Income,-1636000,6497000,13199000,65170000,42146000,77553000,109244000
24,Net Income ratio,-0.0166,0.0328,0.0417,0.1435,0.0716,0.1406,0.1148
25,EPS,-0.17,-0.24,0.13,0.60,0.38,0.69,-0.00
26,EPS Diluted,-0.17,-0.24,0.12,0.57,0.37,0.68,-0.00
27,Weighted Average Shares Outstanding,102687017,104703600,55835000,108833028,111450443,112854524,117142062
28,Weighted Average Shares Outstanding Diluted,106747037,104703600,60638000,113364712,113431850,113849815,117142062
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1494259/000156459018004127/0001564590-18-004127-index.htm,https://www.sec.gov/Archives/edgar/data/1494259/000156459019005473/0001564590-19-005473-index.htm,https://www.sec.gov/Archives/edgar/data/1494259/000156459020004805/0001564590-20-004805-index.htm,https://www.sec.gov/Archives/edgar/data/1494259/000156459021005612/0001564590-21-005612-index.htm,https://www.sec.gov/Archives/edgar/data/1494259/000095017022002023/0000950170-22-002023-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,61363000,29476000,87709000,34887000,59920000,190299000,231944000
32,Short-Term Investments,- -,44774000,50000000,122800000,111692000,100000000,90000000
33,Cash and Short-Term Investments,61363000,74250000,137709000,157687000,171612000,290299000,321944000
34,Net Receivables,5729000,6653000,12577000,13614000,22124000,18235000,189324000
35,Inventory,- -,- -,- -,- -,- -,- -,19656000
36,Other Current Assets,2052000,4604000,6918000,23557000,25218000,23442000,32184000
37,Total Current Assets,69144000,85507000,157204000,194858000,218954000,331976000,563108000
38,PP&E,7147000,12780000,16563000,24269000,87936000,88318000,92819000
39,Goodwill,- -,- -,- -,- -,15207000,29129000,158287000
40,Intangible Assets,- -,- -,- -,- -,3920000,10862000,83915000
41,Intangible Assets,- -,- -,- -,- -,19127000,39991000,242202000
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,490000,- -,825000,38886000,42713000,19774000,13378000
44,Other Non-Current Assets,1000000,2044000,2002000,10277000,24893000,22239000,20067000
45,Total Non-Current Assets,8637000,14824000,19390000,73432000,174669000,170322000,368466000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,77781000,100331000,176594000,268290000,393623000,502298000,931574000
48,Accounts Payable,10476000,16426000,23908000,34345000,36731000,21563000,66153000
49,Short-Term Debt,- -,- -,- -,- -,8781000,11085000,13186000
50,Tax Payable,- -,- -,- -,- -,- -,- -,6344000
51,Deferred Revenue,1474000,3330000,4305000,8811000,9984000,9137000,12784000
52,Other Current Liabilities,4443000,9294000,14753000,20347000,18262000,24751000,78586000
53,Total Current Liabilities,16393000,29050000,42966000,63503000,73758000,66536000,170709000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,57519000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,292000,- -,- -,284000,291000,58000
57,Other Non-Current Liabilities,4141000,6263000,6603000,10676000,62726000,61885000,23639000
58,Total Non-Current Liabilities,4141000,6555000,6603000,10676000,63010000,62176000,81216000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,69599000,69895000,70705000
61,Total Liabilities,20534000,35605000,49569000,74179000,136768000,128712000,251925000
62,Preferred Stock,73378000,132698000,- -,- -,- -,- -,- -
63,Common Stock,45000,42000,106000,111000,112000,113000,118000
64,Retained Earnings,-18610000,-71698000,-58499000,9713000,51859000,129412000,129258000
65,Other Comprehensive Income/Loss,- -,-30000,228000,71000,-350000,1880000,-403000
66,Other Total Stockholders Equity,2434000,3714000,185190000,184216000,205234000,242181000,387868000
67,Total Stockholders Equity,57247000,64726000,127025000,194111000,256855000,373586000,516841000
68,Total Liabilities And Stockholders Equity,77781000,100331000,176594000,268290000,393623000,502298000,768766000
69,Minority Interest,- -,- -,- -,- -,- -,- -,162808000
70,Total Liabilities & Equity,77781000,100331000,176594000,268290000,393623000,502298000,931574000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1494259/000156459018004127/0001564590-18-004127-index.htm,https://www.sec.gov/Archives/edgar/data/1494259/000156459019005473/0001564590-19-005473-index.htm,https://www.sec.gov/Archives/edgar/data/1494259/000156459020004805/0001564590-20-004805-index.htm,https://www.sec.gov/Archives/edgar/data/1494259/000156459021005612/0001564590-21-005612-index.htm,https://www.sec.gov/Archives/edgar/data/1494259/000095017022002023/0000950170-22-002023-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-1636000,6497000,13199000,65170000,42146000,77553000,109244000
74,Depreciation and Amortization,1122000,2072000,3795000,5029000,7817000,11342000,40476000
75,Deferred Income Tax,-649000,782000,-1117000,-39040000,-3734000,22235000,6163000
76,Stock Based Compensation,1040000,322000,5028000,20794000,34301000,45090000,53525000
77,Change in Working Capital,12780000,3706000,57781000,17117000,13841000,120244000,-128955000
78,Accounts Receivable,-716000,-1432000,-7039000,-1911000,-9608000,3889000,-174771000
79,Inventory,- -,- -,- -,- -,- -,- -,-17318000
80,Accounts Payable,6104000,5811000,6244000,9345000,4268000,-15077000,35397000
81,Other Working Capital,52751000,56457000,114238000,131355000,145196000,265440000,-4053000
82,Other Non-Cash Items,258000,6625000,-52995000,-17347000,-24255000,-119721000,17839000
83,Cash Provided by Operating Activities,12915000,20004000,25691000,51723000,70116000,156743000,98292000
84,CAPEX,-7615000,-7218000,-7372000,-7478000,-14226000,-7531000,-13876000
85,Acquisitions Net,- -,- -,- -,- -,-19139000,-21056000,-64273000
86,Purchases of Investments,- -,-59774000,-50000000,-212800000,-177808000,-100000000,-120000000
87,Sales/Maturities of Investments,- -,15000000,44774000,140000000,188916000,111692000,130000000
88,Other Investing Activites,-1262000,-1372000,-2215000,-1522000,-3021000,-4579000,-6163000
