,https://roic.ai/company/PHG,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,22944717216,23917545625,25266602017,24135459600,24940324864,26624186865,27140017051,28646131248,31285855677,31917845750,34306329330,30287335860,31550844920,37966498920,32395581840,31849210370,28986065150,30296517600,30371519320,26976037070,26835349620,26385000000,23189000000,25419000000,22579000000,24788000000,23329000000,21391000000,24244000000,24516000000,17780000000,18121000000,19481000000,19535000000,17156000000
2,COGS,- -,16078952070,16843721875,17655391049,16340051175,17011321145,17910002610,18391483894,19281877884,21816422430,24614303450,25828155990,23985325800,24573445330,28771404280,22853585940,21925933760,19523609640,20140139360,20561481430,18680846950,17651550320,17890000000,15110000000,15873000000,13932000000,15379000000,13641000000,13185000000,14388000000,13904000000,9600000000,9568000000,10607000000,10754000000,9988000000
3,Gross Profit,- -,6865765146,7073823750,7611210968,7795408425,7929003719,8714184255,8748533157,9364253364,9469433247,7303542300,8478173340,6302010060,6977399590,9195094640,9541995900,9923276610,9462455510,10156378240,9810037890,8295190120,9183799300,8495000000,8079000000,9546000000,8647000000,9409000000,9688000000,8206000000,9856000000,10612000000,8180000000,8553000000,8874000000,8781000000,7168000000
4,Gross Profit Ratio,- -,0.2992,0.2958,0.3012,0.3230,0.3179,0.3273,0.3223,0.3269,0.3027,0.2288,0.2471,0.2081,0.2211,0.2422,0.2945,0.3116,0.3264,0.3352,0.3230,0.3075,0.3422,0.3220,0.3484,0.3755,0.3830,0.3796,0.4153,0.3836,0.4065,0.4329,0.4601,0.4720,0.4555,0.4495,0.4178
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3317782320,3045692120,2612358700,2532455440,2550660510,1667675690,1631684730,1622000000,1631000000,1576000000,1610000000,1810000000,1733000000,1635000000,1927000000,2021000000,1764000000,1759000000,1884000000,1915000000,1806000000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1016000000,734000000,735000000,841000000,798000000,949000000,747000000,1209000000,845000000,577000000,631000000,631000000,668000000,599000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5501000000,5159000000,5246000000,5160000000,5468000000,5075000000,5124000000,5815000000,5888000000,4398000000,4500000000,4682000000,4606000000,4258000000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6517000000,5893000000,5981000000,6001000000,6266000000,6024000000,5871000000,7024000000,6733000000,4975000000,5131000000,5313000000,5274000000,4857000000
9,Other Expenses,- -,5997473316,6172706250,6862423632,6883950675,6654583481,7737013215,7659638007,7724281758,7756672896,6133689980,6205448340,5293313280,5176652110,4744481440,6130929050,5960827350,5956019030,5730298240,5477038970,5444760340,5696836220,-195000000,-59000000,-76000000,-50000000,- -,- -,- -,- -,- -,- -,24000000,29000000,-69000000,- -
