,https://roic.ai/company/TLSS,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,1301332,13620160,31356250,25826632,5495146
2,COGS,- -,- -,- -,- -,50000,190000,100000,997830,12785430,28752890,26271434,5408143
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,303502,834730,2603360,-444802,87003
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,0.2332,0.0613,0.0830,-0.0172,0.0158
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,740000,- -,- -,- -,- -,- -
6,General and Administrative Exp.,30000,10000,20000,20000,240000,820000,430000,400039,7791900,18125480,4734912,3275268
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",30000,10000,20000,20000,240000,820000,430000,400039,7791900,18125480,4734912,3275268
9,Other Expenses,-2301,436,-2685,-4453,455,-2575,-737636,- -,-4324321,-13237849,- -,3256759
10,Operating Expenses,27699,10436,17315,15547,240455,817425,432364,400039,3467579,4887631,4734912,6532027
11,COGS and Expenses,30000,10000,20000,20000,290000,1000000,1270000,1397869,20485720,12556680,31006346,11940170
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,312416,1913692,7141571,7552111,349544
14,Depreciation and Amortization,- -,- -,- -,- -,2911,9762,10858,- -,664350,969893,102109,686
15,EBITDA,-30000,-10000,-20000,-20000,-290000,-990240,-1259140,-432389,-11900118,-36752996,-35127738,6605020
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.3323,-0.8737,-1.1721,-1.3601,1.2020
17,Operating Income,- -,- -,- -,-15547,-291400,-1003625,-1268257,-133037,-6968771,-20290601,-8215551,-6445024
18,Operating Income ratio,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-0.1022,-0.5117,-0.6471,-0.3181,-1.1729
19,Total Other Income Expenses (Gains),- -,- -,- -,-4453,1400,3625,8257,-611768,-7609769,-23892439,-34566407,12699814
20,Income Before Tax,-30000,-10000,-20000,-20000,-290000,-1000000,-1260000,-744805,-14578540,-44183040,-42781958,6254790
