,https://roic.ai/company/DCUE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2712100000,3071600000,3251200000,3344100000,3661700000,3532500000,3785700000,3791100000,4433900000,4491100000,4651700000,4842300000,7677600000,6086200000,5520000000,9260000000,10558000000,10218000000,12078000000,13972000000,18041000000,16482000000,15674000000,16290000000,15131000000,15197000000,14379000000,13093000000,13120000000,12436000000,11683000000,11737000000,12586000000,13366000000,16572000000,14172000000,13964000000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,1642400000,1695300000,1687500000,3804300000,2414400000,1805000000,3599000000,4090000000,3456000000,4917000000,6683000000,10550000000,6654000000,6716000000,7772000000,7077000000,6653000000,6412000000,10180000000,8033000000,7881000000,6201000000,5955000000,5883000000,7039000000,8990000000,6870000000,7255000000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,2848700000,2956400000,3154800000,3873300000,3671800000,3715000000,5661000000,6468000000,6762000000,7161000000,7289000000,7491000000,9828000000,8958000000,8518000000,8054000000,8544000000,7967000000,2913000000,5087000000,4555000000,5482000000,5782000000,6703000000,6327000000,7582000000,7302000000,6709000000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.6343,0.6356,0.6515,0.5045,0.6033,0.6730,0.6113,0.6126,0.6618,0.5929,0.5217,0.4152,0.5963,0.5715,0.5229,0.5323,0.5622,0.5541,0.2225,0.3877,0.3663,0.4692,0.4926,0.5326,0.4734,0.4575,0.5152,0.4804
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,1810500000,1930800000,2050400000,2552900000,2248300000,2404000000,4132000000,4683000000,3877000000,4600000000,4572000000,5052000000,6483000000,7026000000,4850000000,5425000000,5311000000,5106000000,1757000000,1771000000,1834000000,1946000000,2155000000,2573000000,2703000000,3695000000,3203000000,3387000000
