,https://roic.ai/company/BERY,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,4257000000,4561000000,4766000000,4647000000,4958000000,4881000000,6489000000,7095000000,7869000000,8878000000,11709000000,13850000000
2,COGS,3667000000,3878000000,3949000000,3835000000,4190000000,4012000000,5202000000,5691000000,6438000000,7259000000,9301000000,11352000000
3,Gross Profit,590000000,683000000,817000000,812000000,768000000,869000000,1287000000,1404000000,1431000000,1619000000,2408000000,2498000000
4,Gross Profit Ratio,0.1386,0.1497,0.1714,0.1747,0.1549,0.1780,0.1983,0.1979,0.1819,0.1824,0.2057,0.1804
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,272000000,275000000,308000000,- -,- -,- -,- -,494000000,480000000,583000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",272000000,275000000,308000000,- -,- -,- -,- -,494000000,480000000,583000000,- -,867000000
9,Other Expenses,153000000,145000000,153000000,412000000,422000000,448000000,674000000,154000000,190000000,62000000,1150000000,288000000
10,Operating Expenses,425000000,420000000,461000000,412000000,422000000,448000000,674000000,648000000,670000000,645000000,1150000000,1155000000
11,COGS and Expenses,4092000000,4298000000,4410000000,4247000000,4612000000,4460000000,5876000000,6339000000,7108000000,7904000000,10451000000,12507000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),313000000,327000000,328000000,244000000,221000000,191000000,291000000,269000000,-259000000,-189000000,435000000,336000000
14,Depreciation and Amortization,317000000,344000000,355000000,341000000,358000000,350000000,525000000,521000000,538000000,613000000,845000000,854000000
15,EBITDA,468000000,325000000,687000000,670000000,645000000,663000000,1124000000,1239000000,880000000,914000000,1993000000,2095000000
16,EBITDA ratio,0.1099,0.0713,0.1441,0.1442,0.1301,0.1358,0.1732,0.1746,0.1118,0.1030,0.1702,0.1513
17,Operating Income,124000000,- -,325000000,386000000,316000000,408000000,581000000,732000000,761000000,974000000,1179000000,1292000000
18,Operating Income ratio,0.0291,- -,0.0682,0.0831,0.0637,0.0836,0.0895,0.1032,0.0967,0.1097,0.1007,0.0933
19,Total Other Income Expenses (Gains),-286000000,-609000000,-321000000,-301000000,-249000000,-286000000,-273000000,-283000000,-284000000,-484000000,-466000000,-387000000
20,Income Before Tax,-162000000,-346000000,4000000,85000000,67000000,122000000,308000000,449000000,477000000,490000000,713000000,905000000
21,Income Before Tax Ratio,-0.0381,-0.0759,0.0008,0.0183,0.0135,0.0250,0.0475,0.0633,0.0606,0.0552,0.0609,0.0653
22,Income Tax expense (Gain),-49000000,-47000000,2000000,28000000,4000000,36000000,72000000,109000000,105000000,86000000,154000000,172000000
23,Net Income,-113000000,-299000000,2000000,57000000,62000000,86000000,236000000,340000000,496000000,404000000,559000000,733000000
24,Net Income ratio,-0.0265,-0.0656,0.0004,0.0123,0.0125,0.0176,0.0364,0.0479,0.0630,0.0455,0.0477,0.0529
25,EPS,-1.35,-3.55,0.02,0.50,0.53,0.72,1.95,2.66,3.77,3.08,4.22,5.45
26,EPS Diluted,-1.35,-3.55,0.02,0.48,0.51,0.70,1.89,2.56,3.67,3.00,4.14,5.30
27,Weighted Average Shares Outstanding,83435000,84121000,83435000,113486000,116875000,119100000,120800000,127600000,131400000,131300000,132600000,134600000
28,Weighted Average Shares Outstanding Diluted,86644000,84121000,86644000,119454000,121521000,123400000,125000000,132600000,135200000,134600000,135100000,138300000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1378992/000137899217000028/0001378992-17-000028-index.html,https://www.sec.gov/Archives/edgar/data/1378992/000137899218000039/0001378992-18-000039-index.html,https://www.sec.gov/Archives/edgar/data/1378992/000114036119021238/0001140361-19-021238-index.html,https://www.sec.gov/Archives/edgar/data/1378992/000114036120026326/0001140361-20-026326-index.htm,https://www.sec.gov/Archives/edgar/data/1378992/000114036121038583/0001140361-21-038583-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,42000000,87000000,142000000,129000000,228000000,323000000,306000000,381000000,750000000,750000000,1091000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,42000000,87000000,142000000,129000000,228000000,323000000,306000000,381000000,750000000,750000000,1091000000
34,Net Receivables,- -,543000000,455000000,449000000,491000000,434000000,704000000,847000000,941000000,1526000000,1469000000,1879000000
35,Inventory,- -,578000000,535000000,575000000,604000000,522000000,660000000,762000000,887000000,1324000000,1268000000,1907000000
