,https://roic.ai/company/KHC,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,17797000000,18655000000,18339000000,18218000000,18205000000,- -,26487000000,26076000000,26268000000,24977000000,26185000000,26042000000
2,COGS,11777000000,12761000000,12499000000,11395000000,13360000000,- -,16901000000,16579000000,17149000000,16782000000,17008000000,17360000000
3,Gross Profit,6020000000,5894000000,5840000000,6823000000,4845000000,- -,9586000000,9497000000,9119000000,8195000000,9177000000,8682000000
4,Gross Profit Ratio,0.3383,0.3159,0.3184,0.3745,0.2661,- -,0.3619,0.3642,0.3472,0.3281,0.3505,0.3334
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,3444000000,2808000000,3068000000,3105000000,3449000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,3444000000,2808000000,3068000000,3105000000,3449000000,3588000000
9,Other Expenses,3063000000,2971000000,3029000000,2124000000,2956000000,- -,- -,483000000,16419000000,2026000000,201000000,- -
10,Operating Expenses,3063000000,2971000000,3029000000,2124000000,2956000000,- -,3444000000,3291000000,19487000000,5131000000,3650000000,3588000000
11,COGS and Expenses,14840000000,15732000000,15528000000,13519000000,16316000000,- -,20345000000,19870000000,36636000000,21913000000,20658000000,20948000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27000000,15000000
13,Interest Expense (Gain),3000000,4000000,238000000,479000000,- -,- -,1134000000,1234000000,1284000000,1361000000,1394000000,2047000000
14,Depreciation and Amortization,354000000,364000000,428000000,393000000,385000000,- -,1337000000,1036000000,983000000,994000000,969000000,910000000
15,EBITDA,5003000000,3337000000,3119000000,4962000000,1791000000,- -,7484000000,7751000000,-8992000000,5018000000,3388000000,4653000000
16,EBITDA ratio,0.2811,0.1789,0.1701,0.2724,0.0984,- -,0.2826,0.2972,-0.3423,0.2009,0.1294,0.1787
17,Operating Income,2957000000,2923000000,2811000000,4699000000,1889000000,- -,6142000000,6206000000,-10368000000,3064000000,5527000000,3460000000
18,Operating Income ratio,0.1662,0.1567,0.1533,0.2579,0.1038,- -,0.2319,0.2380,-0.3947,0.1227,0.2111,0.1329
19,Total Other Income Expenses (Gains),45000000,46000000,-358000000,-609000000,-483000000,- -,-1119000000,-756000000,-953000000,-403000000,-4497000000,-1752000000
20,Income Before Tax,3002000000,2969000000,2453000000,4090000000,1406000000,- -,5023000000,5450000000,-11321000000,2661000000,1030000000,1708000000
21,Income Before Tax Ratio,0.1687,0.1592,0.1338,0.2245,0.0772,- -,0.1896,0.2090,-0.4310,0.1065,0.0393,0.0656
22,Income Tax expense (Gain),1112000000,1130000000,811000000,1375000000,363000000,- -,1381000000,-5460000000,-1067000000,728000000,669000000,684000000
23,Net Income,3534000000,1839000000,1642000000,2715000000,1043000000,- -,3632000000,10941000000,-10192000000,1935000000,356000000,1012000000
24,Net Income ratio,0.1986,0.0986,0.0895,0.1490,0.0573,- -,0.1371,0.4196,-0.3880,0.0775,0.0136,0.0389
25,EPS,5.98,3.11,2.77,4.55,1.75,- -,2.84,8.91,-8.36,1.58,0.29,0.83
26,EPS Diluted,5.98,3.09,2.75,4.51,1.74,- -,2.81,8.91,-8.36,1.58,0.29,0.82
27,Weighted Average Shares Outstanding,591000000,591000000,593000000,594000000,593000000,- -,1217000000,1228000000,1219000000,1224000000,1223000000,1224000000
28,Weighted Average Shares Outstanding Diluted,591000000,596000000,598000000,599000000,598000000,- -,1226000000,1228000000,1219000000,1224000000,1228000000,1236000000
29,SEC Link,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1637459/000163745917000007/0001637459-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1637459/000163745918000015/0001637459-18-000015-index.html,https://www.sec.gov/Archives/edgar/data/1637459/000163745919000049/form10-k2018.htm,https://www.sec.gov/Archives/edgar/data/1637459/000163745920000027/0001637459-20-000027-index.html,https://www.sec.gov/Archives/edgar/data/1637459/000163745921000009/0001637459-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1637459/000163745922000018/0001637459-22-000018-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,1255000000,1686000000,1293000000,- -,4204000000,1629000000,1130000000,2279000000,3417000000,3445000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,1255000000,1686000000,1293000000,- -,4204000000,1629000000,1130000000,2279000000,3417000000,3445000000
34,Net Receivables,- -,903000000,1089000000,1048000000,1080000000,- -,898000000,1812000000,2281000000,2146000000,2063000000,1957000000
35,Inventory,- -,1943000000,1928000000,1616000000,1775000000,- -,2684000000,2760000000,2667000000,2721000000,2554000000,2729000000
36,Other Current Assets,- -,426000000,551000000,558000000,643000000,- -,967000000,1000000000,2997000000,951000000,2788000000,863000000
37,Total Current Assets,- -,3272000000,4823000000,4908000000,4791000000,- -,8753000000,7201000000,9075000000,8097000000,10822000000,8994000000
38,PP&E,- -,4278000000,4204000000,4115000000,4192000000,- -,6688000000,7061000000,7078000000,7597000000,6876000000,6806000000
39,Goodwill,- -,11316000000,11346000000,11505000000,11404000000,- -,44125000000,44825000000,36503000000,35546000000,33089000000,31296000000
40,Intangible Assets,- -,2630000000,2631000000,2229000000,2234000000,- -,59297000000,59432000000,49468000000,48652000000,46667000000,43542000000
41,Intangible Assets,- -,13946000000,13977000000,13734000000,13638000000,- -,103422000000,104257000000,85971000000,84198000000,79756000000,74838000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,14039000000,12202000000,11878000000,- -,- -
44,Other Non-Current Assets,- -,43000000,325000000,391000000,326000000,- -,1617000000,-12466000000,-10865000000,-10320000000,2376000000,2756000000
45,Total Non-Current Assets,- -,18267000000,18506000000,18240000000,18156000000,- -,111727000000,112891000000,94386000000,93353000000,89008000000,84400000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,21539000000,23329000000,23148000000,22947000000,- -,120480000000,120092000000,103461000000,101450000000,99830000000,93394000000
48,Accounts Payable,- -,1447000000,1556000000,1548000000,1537000000,- -,3996000000,4362000000,4153000000,4003000000,4304000000,4753000000
49,Short-Term Debt,- -,8000000,5000000,- -,1405000000,- -,2691000000,3203000000,398000000,1028000000,236000000,754000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,255000000,152000000,- -,- -,- -,541000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,14076000000,12202000000,11878000000,- -,- -
52,Other Current Liabilities,- -,1117000000,2045000000,1862000000,1831000000,- -,2814000000,-11487000000,-9250000000,-9034000000,3521000000,3557000000
53,Total Current Liabilities,- -,2572000000,3606000000,3410000000,4773000000,- -,9501000000,10154000000,7503000000,7875000000,8061000000,9064000000
54,Long-Term Debt,- -,27000000,9966000000,9976000000,8627000000,- -,29713000000,28308000000,30770000000,28216000000,28070000000,21061000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1534000000
56,Deferred Tax Liabilities,- -,1603000000,288000000,662000000,340000000,- -,20848000000,14076000000,12202000000,11878000000,11462000000,10536000000
57,Other Non-Current Liabilities,- -,738000000,5897000000,3913000000,4842000000,- -,2844000000,1691000000,1329000000,1858000000,1994000000,1747000000
58,Total Non-Current Liabilities,- -,2368000000,16151000000,14551000000,13809000000,- -,53405000000,44075000000,44301000000,41952000000,41526000000,34878000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,4940000000,19757000000,17961000000,18582000000,- -,62906000000,54229000000,51804000000,49827000000,49587000000,43942000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,12000000,12000000,12000000,12000000,12000000,12000000
64,Retained Earnings,- -,- -,-206000000,1281000000,1045000000,- -,588000000,8495000000,-4853000000,-3060000000,-2694000000,-1682000000
65,Other Comprehensive Income/Loss,- -,-377000000,-460000000,-499000000,-562000000,- -,-1628000000,-1054000000,-1943000000,-1886000000,-1967000000,-1824000000
66,Other Total Stockholders Equity,- -,20490000000,7976000000,7613000000,7171000000,- -,58386000000,58581000000,58441000000,56557000000,54752000000,- -
67,Total Stockholders Equity,- -,16599000000,3572000000,5187000000,4365000000,- -,57358000000,66034000000,51657000000,51623000000,50103000000,49298000000
68,Total Liabilities And Stockholders Equity,- -,21539000000,23329000000,23148000000,22947000000,- -,120264000000,120263000000,103461000000,101450000000,99690000000,93240000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,216000000,-171000000,- -,- -,140000000,154000000
70,Total Liabilities & Equity,- -,21539000000,23329000000,23148000000,22947000000,- -,120480000000,120092000000,103461000000,101450000000,99830000000,93394000000
