,https://roic.ai/company/SE,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , 
1,Revenue,160756000,292124000,345670000,414190000,826968000,2175378000,4375664000
2,COGS,124573000,184298000,232598000,326878000,812210000,1570458000,3026759000
3,Gross Profit,36183000,107826000,113072000,87312000,14758000,604920000,1348905000
4,Gross Profit Ratio,0.2251,0.3691,0.3271,0.2108,0.0178,0.2781,0.3083
5,Research and Development Exp.,11053000,17732000,20809000,29323000,67529000,156634000,353785000
6,General and Administrative Exp.,44964000,87202000,112383000,137868000,240781000,385865000,657215000
7,Selling and Marketing Exp.,68787000,89015000,187372000,425974000,705015000,969543000,1830875000
8,"Selling, General and Administrative Exp.",113751000,176217000,299755000,563842000,945796000,1355408000,2488090000
9,Other Expenses,-742000,-3063000,-2103000,-3497000,-9799000,-15890000,-189645000
10,Operating Expenses,124062000,190886000,318461000,589668000,1003526000,1496152000,2652230000
11,COGS and Expenses,248635000,375184000,551059000,916546000,1815736000,3066610000,5678989000
12,Interest Income ,217000,545000,741000,2922000,11520000,33935000,24804000
13,Interest Expense (Gain),181000,32000,23000,26501000,31295000,48208000,148243000
14,Depreciation and Amortization,18384000,29261000,39554000,40922000,78728000,121632000,- -
15,EBITDA,-67297000,-62343000,-174744000,-482317000,-847130000,-1207095000,-1328173000
16,EBITDA ratio,-0.4186,-0.2134,-0.5055,-1.1645,-1.0244,-0.5549,-0.3035
17,Operating Income,-87879000,-83060000,-205389000,-502356000,-988768000,-891232000,-1303325000
18,Operating Income ratio,-0.5467,-0.2843,-0.5942,-1.2129,-1.1957,-0.4097,-0.2979
19,Total Other Income Expenses (Gains),401000,-4398000,8503000,-46153000,34888000,-477387000,-179913000
20,Income Before Tax,-87478000,-87458000,-196886000,-548509000,-953880000,-1368619000,-1483238000
21,Income Before Tax Ratio,-0.5442,-0.2994,-0.5696,-1.3243,-1.1535,-0.6291,-0.3390
22,Income Tax expense (Gain),2521000,11730000,8546000,10745000,4088000,85864000,141640000
23,Net Income,-88383000,-103366000,-222867000,-560485000,-961241000,-1462799000,-1618056000
24,Net Income ratio,-0.5498,-0.3538,-0.6447,-1.3532,-1.1624,-0.6724,-0.3698
25,EPS,-0.34,-0.40,-0.87,-2.72,-2.84,-3.35,-3.39
26,EPS Diluted,-0.34,-0.40,-0.87,-2.72,-2.84,-3.35,-3.39
27,Weighted Average Shares Outstanding,257463818,261324809,257463818,205727195,338472987,436601801,477264888
28,Weighted Average Shares Outstanding Diluted,257463818,261324809,257463818,205727195,338472987,436601801,477264888
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1703399/000119312518113294/d414468d20f.htm,https://www.sec.gov/Archives/edgar/data/1703399/000114420419011639/0001144204-19-011639-index.html,https://www.sec.gov/Archives/edgar/data/1703399/000114036120008832/0001140361-20-008832-index.htm,https://www.sec.gov/Archives/edgar/data/1703399/000114036121013089/0001140361-21-013089-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,85996000,116203000,170078000,1347361000,1002841000,3118988000,6166880000
32,Short-Term Investments,- -,10428000,- -,18000000,690000,102324000,126099000
33,Cash and Short-Term Investments,85996000,126631000,170078000,1365361000,1003531000,3221312000,6292979000
34,Net Receivables,36123000,57245000,91792000,185312000,317873000,451360000,668385000
35,Inventory,1370000,4086000,3947000,9790000,37689000,26932000,64219000
36,Other Current Assets,32572000,41733000,44067000,160250000,351620000,710535000,1913421000
37,Total Current Assets,156061000,229695000,309884000,1720713000,1710713000,4410139000,8939004000
38,PP&E,23642000,32876000,31123000,74348000,192357000,480987000,620956000
39,Goodwill,- -,- -,- -,30952000,30952000,30952000,216278000
40,Intangible Assets,29367000,50857000,29963000,37333000,12887000,35618000,39773000
41,Intangible Assets,29367000,50857000,29963000,68285000,43839000,66570000,256051000
