,https://roic.ai/company/ESRT,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,268797000,232315000,246545000,294788000,260294000,311850000,635326000,657634000,678000000,712468000,731511000,731343000,609228000,624094000
2,COGS,80154000,87787000,87941000,86262000,105705000,145439000,300816000,287199000,279744000,296272000,310146000,324660000,281787000,270159000
3,Gross Profit,188643000,144528000,158604000,208526000,154589000,166411000,334510000,370435000,398256000,416196000,421365000,406683000,327441000,353935000
4,Gross Profit Ratio,0.7018,0.6221,0.6433,0.7074,0.5939,0.5336,0.5265,0.5633,0.5874,0.5842,0.5760,0.5561,0.5375,0.5671
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,23210000,42568000,44376000,47399000,58404000,59641000,62000000,70389000,71570000,65273000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,23210000,42568000,44376000,47399000,58404000,59641000,62000000,70389000,71570000,65273000
9,Other Expenses,100681000,62753000,75546000,97431000,42690000,65405000,145431000,171474000,155211000,160710000,168508000,181588000,191006000,201806000
10,Operating Expenses,100681000,62753000,75546000,97431000,65900000,107973000,189807000,218873000,213615000,220351000,230508000,251977000,262576000,267079000
11,COGS and Expenses,180835000,150540000,163487000,183693000,171605000,253412000,490623000,506072000,493359000,516623000,540654000,576637000,544363000,537238000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10661000,11259000,2637000,704000
13,Interest Expense (Gain),48664000,50738000,52264000,54746000,54394000,56964000,66456000,67492000,71147000,68473000,79623000,79246000,89907000,94394000
14,Depreciation and Amortization,28162000,30860000,36025000,38760000,47571000,70956000,145431000,171474000,155211000,160710000,168508000,181588000,191006000,209637000
15,EBITDA,129546000,123435000,134407000,153748000,150608000,210447000,243685000,277581000,284896000,299439000,319312000,314451000,261427000,295787000
16,EBITDA ratio,0.4819,0.5313,0.5452,0.5216,0.5786,0.6748,0.3836,0.4221,0.4202,0.4203,0.4365,0.4300,0.4291,0.4739
17,Operating Income,87962000,81775000,83058000,111095000,88689000,58438000,141321000,151369000,184543000,195845000,190857000,154706000,58661000,79133000
18,Operating Income ratio,0.3272,0.3520,0.3369,0.3769,0.3407,0.1874,0.2224,0.2302,0.2722,0.2749,0.2609,0.2115,0.0963,0.1268
19,Total Other Income Expenses (Gains),-48664000,-50738000,-52264000,-54746000,-40046000,142275000,-66456000,-67492000,-71147000,-70919000,-68962000,-67987000,-88521000,-93904000
20,Income Before Tax,39298000,31037000,30794000,56349000,48643000,200713000,74865000,83877000,113396000,124926000,121895000,86719000,-29860000,-14771000
21,Income Before Tax Ratio,0.1462,0.1336,0.1249,0.1912,0.1869,0.6436,0.1178,0.1275,0.1673,0.1753,0.1666,0.1186,-0.0490,-0.0237
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,4655000,3949000,6146000,6673000,4642000,2429000,-6971000,-1734000
23,Net Income,52720000,41837000,46118000,60242000,48643000,82527000,27143000,34666000,52392000,63583000,66539000,51188000,-12515000,-6510000
24,Net Income ratio,0.1961,0.1801,0.1871,0.2044,0.1869,0.2646,0.0427,0.0527,0.0773,0.0892,0.0910,0.0700,-0.0205,-0.0104
