,https://roic.ai/company/GNBT,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,1000000,- -,- -,630000,390000,180000,180000,130000,1120000,1170000,290000,30000,- -,- -,- -,- -,- -,703240,6203760,2661396
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60000,50000,530000,810000,160000,10000,- -,- -,- -,- -,- -,- -,4138450,579857
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,120000,80000,590000,360000,130000,20000,- -,- -,- -,- -,- -,- -,2065310,2081539
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.6667,0.6154,0.5268,0.3077,0.4483,0.6667,- -,- -,- -,- -,- -,- -,0.3329,0.7821
5,Research and Development Exp.,70000,730000,880000,1850000,3480000,19150000,6620000,5150000,8520000,7750000,6190000,11980000,16360000,13560000,13360000,10250000,4990000,2190000,1380000,1190000,470000,420000,839150,1748880,2106364
6,General and Administrative Exp.,300000,630000,3670000,4380000,5570000,13290000,7910000,- -,- -,- -,- -,- -,- -,11164352,12719239,13392920,4889179,3936635,3016684,2697690,1435186,1174547,2359706,21409428,17898239
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,693309000,1562258000,2120903000,3709767000,1025774000,1025774,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",300000,630000,3670000,4380000,5570000,13290000,7910000,- -,- -,- -,- -,693309000,1562258000,2132067352,3722486239,1039166920,5914953,3936635,3016684,2697690,1435186,1174547,2359706,21409428,17898239
9,Other Expenses,-10000,- -,50313,77415,80764,-2461,446,8698690,10672525,11200533,12690983,-680294323,-1545099664,-2118780416,-3706056077,-1024747829,-863363,2724,2995,-4616,-2618,2294,-3,2,-184647
10,Operating Expenses,360000,1360000,4600313,6307415,9130764,32437539,14530446,13848690,19192525,18950533,18880983,24994677,33518336,26846936,29790162,24669091,10041590,6129359,4399679,3883074,1902568,1596841,3198853,23158310,19819956
11,COGS and Expenses,360000,1360000,4550000,6230000,9040000,32440000,14530000,13850000,19190000,20300000,31430000,25290000,33570000,27380000,30600000,24820000,10050000,6130000,4400000,3330000,3070000,14980000,3198850,30836790,20399813
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,249264,- -,- -,- -,- -,237977,27045,6455,1519,353,586,6,- -,- -,- -,47961,- -
